Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: main,[SHORT-BRIEF]: Starting Program
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Load,[SHORT-BRIEF]: Loading casino from file
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: main,[SHORT-BRIEF]: Casino Loaded Successfully
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: ReadPeopleFile,[SHORT-BRIEF]:  Success Loading 10000 users 
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->8; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->2,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->4612.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->21; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->6,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->4385.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->56; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->16,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->3406.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->58; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->16,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->1480.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->21; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->6,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->4635.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->31; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->8,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->26; [TYPE]->6;		[STATE]->BROKEN;[TEMPERATURE]->19.000000;[X,Y]->7,2;[winProbability]->0.250000;[Failures]->0;[betAmount]->2420.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->19; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->5,3;[winProbability]->0.400000;[Failures]->0;[betAmount]->0.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->21; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->6,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->34.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->60; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->18,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->162.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->11; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->3,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->12; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->3,4;[winProbability]->0.250000;[Failures]->0;[betAmount]->4407.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->21; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->20.000000;[X,Y]->6,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->259.000000;[usage]->4
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->10; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->3,2;[winProbability]->0.100000;[Failures]->0;[betAmount]->2923.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->20; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->5,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->1391.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->57; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->20.000000;[X,Y]->16,2;[winProbability]->0.400000;[Failures]->0;[betAmount]->625.000000;[usage]->4
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->63; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->18,4;[winProbability]->0.400000;[Failures]->0;[betAmount]->0.000000;[usage]->3
